"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User administration processes in YourStore web app","User registration","Unsuccessful registration","1","0","0","0","0"
"User administration processes in YourStore web app","User registration","Successful registration","0","0","1","0","0"
